"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Superstition Wilderness","Boulder Tr (103)","BLDR01","Dutchman's Tr","Cavalry Tr","Numbered","Public",NA,"DTCHMN51, DTCHMN52, BLDR02",2025-02-20 15:42:28.996864,NA,"NEW"
"Superstition Wilderness","Boulder Tr (103)","BLDR02","Cavalry Tr","Boulder Canyon Tr / Second Water Tr","Numbered","Public",NA,"BLDR01, BLDRCN01",2025-02-20 15:42:36.194401,NA,"NEW"
"Superstition Wilderness","Boulder Canyon Tr (103)","BLDRCN01","Boulder Tr / Second Water Tr","Boulder Canyon Tr","Numbered","Public",NA,"BLDR02, BLDRCN02",2025-02-20 15:42:41.695059,NA,"NEW"
"Superstition Wilderness","Boulder Canyon Tr (ALT)","BLDRCN02","Boulder Canyon Tr","Boulder Canyon Tr","Unnamed","Public",NA,"BLDRCN01, BLDRCN03",2025-02-20 15:42:47.260853,NA,"NEW"
"Superstition Wilderness","Boulder Canyon Tr (103)","BLDRCN03","Boulder Canyon Tr","Apache Tr Road (AZ 88)","Numbered","Public",NA,"BLDRCN02, NA",2025-02-20 15:42:53.037674,NA,"NEW"
"Superstition Wilderness","Black Mesa Tr (241)","BLKMSA01","Second Water Tr","Dutchman's Tr","Numbered","Public",NA,"SCDWTR03, SCDWTR04, DTCHMN52, DTCHMN53",2025-02-20 15:46:25.524496,NA,"NEW"
"Superstition Wilderness","Bluff Spring Tr (235)","BLUFSP01","Dutchman's Tr","Geronimo Cave Tr","Numbered","Public",NA,"DTCHMN01, BLUFSP02, GERCAV01",2025-02-20 15:49:42.225872,NA,"NEW"
"Superstition Wilderness","Bluff Spring Tr (235)","BLUFSP02","Geronimo Cave Tr","Terrapin Tr","Numbered","Public",NA,"BLUFSP01, GERCAV01, NA",2025-02-20 15:49:49.061621,NA,"NEW"
"Superstition Wilderness","Broadway Cave Tr","BRDWCV01","Monument Canyon Tr","Broadway Cave","Named","Public",NA,"MNMTCN01, MNMTCN02, NA",2025-02-20 15:53:56.630615,NA,"NEW"
"Superstition Wilderness","Black Top Mesa Tr","BTPMSA01","Bull Pass Tr","Black Top Mesa","Named","Public",NA,"BULLPS01, NA",2025-02-20 16:02:39.591003,NA,"NEW"
"Superstition Wilderness","Bull Pass Tr (129)","BULLPS01","Dutchman's Tr","Black Top Mesa Tr","Numbered","Public",NA,"DTCHMN50, DTCHMN51, BTPMSA01",2025-02-20 16:02:45.632084,NA,"NEW"
"Superstition Wilderness","Connector to Jacob's Crosscut Tr","CNJCUT05","First Water Rd parking area","Jacob's Crosscut Tr","Unnamed","Public",NA,"NA, JCBCUT05",2025-02-20 16:06:07.254877,NA,"NEW"
"Superstition Wilderness","Connector to Jacob's Crosscut Tr","CNJCUT10","E Singletree St","Jacob's Crosscut Tr","Unnamed","Public",NA,"NA, JCBCUT12, JCBCUT13",2025-02-20 16:06:14.161543,NA,"NEW"
"Superstition Wilderness","Carney Springs Tr","CRNYSP03","Lost Goldmine Tr","Wave Cave Tr","Named","Public",NA,"LGLDMN11, LGLDMN12, CRNYSP04, WAVCAV01",2025-02-20 16:12:43.505318,NA,"NEW"
"Superstition Wilderness","Carney Springs Tr","CRNYSP04","Wave Cave Tr","False summit","Named","Public",NA,"CRNYSP03, CRNYSP05",2025-02-20 16:12:49.313286,NA,"NEW"
"Superstition Wilderness","Carney Springs Tr","CRNYSP05","False summit","Superstition Ridgeline Tr","Named","Public",NA,"CRNYSP04, RDGLIN02",2025-02-20 16:12:55.757551,NA,"NEW"
"Superstition Wilderness","Dutchman's Tr (104)","DTCHMN01","Peralta TH","Bluff Spring Tr","Numbered","Public",NA,"EPRLTR01, PRLTCN01, BLUFSP01",2025-02-20 16:15:39.472351,NA,"NEW"
"Superstition Wilderness","Dutchman's Tr (104)","DTCHMN50","Peralta Canyon Tr","Bull Pass Tr","Numbered","Public",NA,"PRLTCN03, DTCHMN51, BULLPS01",2025-02-20 16:49:54.601696,NA,"NEW"
